date,open,high,low,close,volume,vwap,ticker
2022-05-02,412.07,415.92,405.02,414.48,158312526,411.153,SPY
2022-05-03,415.01,418.93,413.36,416.38,100013490,416.1059,SPY
2022-05-04,417.08,429.66,413.7099,429.06,144247895,421.2666,SPY
2022-05-05,424.55,425.0,409.44,413.81,172929106,415.4351,SPY
2022-05-06,411.1,414.8,405.73,411.34,151746311,410.5178,SPY
2022-05-09,405.1,406.41,396.5,398.17,155571067,401.9209,SPY
2022-05-10,404.49,406.08,394.82,399.09,132497200,399.8401,SPY
2022-05-11,398.07,404.04,391.96,392.75,142360992,397.438,SPY
2022-05-12,389.37,395.8,385.15,392.34,125090753,389.9946,SPY
2022-05-13,396.71,403.18,395.61,401.72,104060921,399.8724,SPY
2022-05-16,399.98,403.97,397.6,400.09,78582794,400.6442,SPY
2022-05-17,406.53,408.57,402.5824,408.32,82720710,405.7484,SPY
2022-05-18,403.5,403.8,390.55,391.86,117669645,396.0277,SPY
2022-05-19,388.62,394.14,387.11,389.46,98477715,390.3546,SPY
2022-05-20,393.25,397.03,380.54,389.63,131137197,387.0485,SPY
2022-05-23,392.83,397.73,390.38,396.92,76371878,395.1774,SPY
2022-05-24,392.56,395.15,386.96,393.89,91380131,391.5536,SPY
2022-05-25,392.31,399.45,391.89,397.37,91397866,395.7817,SPY
2022-05-26,398.67,407.04,398.45,405.31,82123839,404.2641,SPY
2022-05-27,407.91,415.3801,407.7,415.26,84769855,412.4828,SPY
2022-05-31,413.55,416.46,410.03,412.93,95936980,413.3975,SPY
2022-06-01,415.17,416.24,406.93,409.59,86565813,410.7886,SPY
2022-06-02,409.42,417.44,407.04,417.39,79409633,413.3725,SPY
2022-06-03,412.4,414.04,409.51,410.54,71874281,411.8587,SPY
2022-06-06,414.78,416.609,410.5523,411.79,57503038,413.0568,SPY
2022-06-07,408.1,416.22,407.61,415.74,59259373,412.9883,SPY
2022-06-08,413.93,415.82,410.38,411.22,64349966,412.7375,SPY
2022-06-09,409.34,411.74,401.44,401.44,86249796,406.8426,SPY
2022-06-10,394.88,395.7777,389.75,389.8,131723864,392.8831,SPY
2022-06-13,379.85,381.81,373.3,375.0,169975861,378.6775,SPY
2022-06-14,376.85,377.94,370.59,373.87,104007431,374.3226,SPY
2022-06-15,377.36,383.9,372.12,379.2,125666797,378.0522,SPY
2022-06-16,370.51,370.94,364.0799,366.65,134219538,368.4679,SPY
2022-06-17,365.51,369.38,362.17,365.86,111113904,366.2577,SPY
2022-06-21,371.89,376.525,371.81,375.07,76811861,374.3771,SPY
2022-06-22,370.62,378.72,370.18,374.39,90059424,375.1498,SPY
2022-06-23,376.64,378.83,372.89,378.06,79292135,376.2289,SPY
2022-06-24,381.4,390.09,381.365,390.08,97948933,386.7175,SPY
2022-06-27,391.05,391.36,387.44,388.59,65955617,389.0839,SPY
2022-06-28,390.23,393.16,380.53,380.65,86680824,384.908,SPY
2022-06-29,381.23,382.27,378.42,380.34,65583999,380.3919,SPY
2022-06-30,376.24,380.6582,372.56,377.25,112503273,377.0747,SPY
2022-07-01,376.56,381.7,373.8,381.24,74837629,378.234,SPY
2022-07-05,375.88,381.98,372.9,381.96,81406965,377.5154,SPY
2022-07-06,382.11,385.87,379.6,383.25,70121444,382.5043,SPY
2022-07-07,385.12,389.83,383.267,388.99,64511919,387.6265,SPY
2022-07-08,387.27,390.64,385.66,388.67,72385765,388.654,SPY
2022-07-11,385.85,386.87,383.5,384.23,58366945,384.8712,SPY
2022-07-12,383.65,386.16,378.99,380.83,62219178,382.6181,SPY
2022-07-13,375.1,381.92,374.658,378.83,84198649,378.8276,SPY
